LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
201,3614,100000,Primary,24,18,30,19.1,13.4,15.9,15,"£45,421"
202,2000,136807,Primary,6,6,2,5.2,3.8,1.4,18.7,"£37,371"
202,2001,139837,Primary,9,8,2,8.7,7.2,2,16.5,"£43,589"
202,2002,140686,Primary,12,21,3,11.6,17.4,2.6,22.3,"£43,096"
202,2019,100008,Primary,20,9,7,18.3,8.2,6.1,19.1,"£47,681"
202,2036,100009,Primary,25,15,3,24.4,12.7,3,16.7,"£47,719"
202,2065,100010,Primary,24,21,9,21.2,18.1,8,18.5,"£43,671"
202,2078,100011,Primary,25,16,11,21.7,14.2,6.6,19.4,"£43,629"
202,2095,100012,Primary,18,28,6,16.6,19,5.3,17.2,"£46,138"
202,2184,100013,Primary,16,10,4,15.3,9.1,3.4,12.9,"£42,248"
202,2219,100014,Primary,15,15,3,13.2,12.7,3,17.3,"£45,758"
202,2290,100015,Primary,12,12,7,11,7.6,4.4,17.1,"£44,079"
202,2436,100018,Primary,30,32,16,29.6,29.6,13.9,13.7,"£45,015"
202,2438,100019,Primary,22,19,6,19.8,12.4,6,18.8,"£46,995"
202,2475,100020,Primary,25,39,12,21.8,30.9,11.3,21.1,"£54,873"
202,2502,100021,Primary,24,28,11,22.4,21.8,8.5,17.7,"£48,455"
202,2507,100022,Primary,27,17,9,26.1,14.2,8.9,15.9,"£46,831"
202,2603,100023,Primary,25,32,9,23.6,27.6,8.5,18.7,"£59,234"
202,2775,100025,Primary,23,34,15,21.1,25.2,10.7,21.6,"£50,951"
202,2797,100026,Primary,12,13,3,10.4,10.2,2.1,21.8,"£48,427"
202,2841,100027,Primary,15,17,5,11.8,12.9,3.7,20,"£47,726"
202,2842,130342,Primary,14,17,6,11.3,12.3,4.3,19.5,"£45,746"
202,2843,132245,Primary,36,25,8,35.3,23.6,8,19.2,"£43,929"
202,3323,100028,Primary,12,8,3,10.5,6.3,2.4,18.6,"£42,982"
202,3327,100029,Primary,12,16,3,11.4,15.5,2.3,19.6,"£42,012"
202,3340,100030,Primary,14,14,4,12.7,13.8,3.6,20.8,"£42,893"
202,3352,100031,Primary,12,9,6,12,5.9,4.4,19.1,"£40,240"
202,3359,100032,Primary,11,28,2,10.3,17.5,2,17.1,"£43,526"
202,3361,100033,Primary,14,9,2,11.9,7.5,2,17.7,"£43,436"
202,3370,100034,Primary,17,31,3,14.3,20.6,2.9,16.6,"£44,817"
202,3391,100035,Primary,19,15,4,16.4,9.4,3.1,19.7,"£46,023"
202,3398,100036,Primary,11,19,3,11,15.2,2.9,17.7,"£47,513"
202,3400,100037,Primary,16,8,5,15.2,8,5,17.1,"£43,010"
202,3429,100039,Primary,14,6,4,13.5,5.1,3.9,16.4,"£44,410"
202,3441,100040,Primary,13,9,3,13,9,2.8,16.3,"£41,897"
202,3482,100041,Primary,10,10,5,8.6,9.1,5,23.4,"£43,617"
202,3517,100042,Primary,10,9,4,9.6,7.9,4,23.3,"£45,600"
202,3521,100043,Primary,14,10,4,13.1,9.8,4,17.2,"£44,110"
202,3546,100044,Primary,8,5,2,8,4.2,2,18.4,"£46,311"
202,3560,100045,Primary,12,13,5,9.4,10.6,3.8,22,"£45,443"
202,3568,100046,Primary,12,15,5,9.5,11.1,3.2,21.5,"£47,900"
202,3649,100047,Primary,9,6,3,9,6,3,22.9,"£56,327"
202,3655,100048,Primary,11,6,6,11,5.9,6,19.7,"£49,170"
202,4000,137181,Secondary,93,37,35,86.5,33.7,32.5,13.1,"£45,641"
202,4104,100049,Secondary,71,19,24,69.5,17.1,22.1,13.7,"£49,446"
202,4166,100050,Secondary,82,5,25,77.9,4.8,25,15,"£45,185"
202,4196,100051,Secondary,70,10,28,69.4,8.9,27.5,14.5,"£43,879"
202,4275,100052,Secondary,92,19,28,90.1,15.8,23.7,14.5,"£45,698"
202,4285,100053,Secondary,82,28,26,78.4,27.4,23.4,12.9,"£45,981"
202,4611,100054,Secondary,83,12,29,63.8,8.8,22.3,16.1,"£49,134"
202,4652,100055,Secondary,56,16,20,55,16,19.7,12.9,"£46,464"
202,4688,100056,Secondary,58,9,19,54.3,7.5,16.8,15.4,"£51,492"
202,5401,100059,Secondary,84,8,25,75.1,7.1,20.6,14.3,"£48,383"
203,2018,143211,Primary,24,21,11,24,15.3,8.7,18.8,"£35,501"
203,2024,143601,Primary,16,11,9,13.2,10.5,7.8,14.8,"£52,650"
203,2028,100113,Primary,45,34,14,40,22.5,11,20.9,"£43,649"
203,2071,100114,Primary,22,24,7,20.3,17.9,5.9,20.3,"£48,193"
203,2106,100115,Primary,15,19,6,12.4,15,4.4,18.5,"£38,228"
203,2174,100120,Primary,25,30,9,22.7,16.7,6.6,18.7,"£39,750"
203,2228,100125,Primary,20,15,7,19.6,8.9,6.6,19.6,"£41,523"
203,2242,100126,Primary,22,24,3,21,17.6,3,16.4,"£44,977"
203,2258,100127,Primary,19,31,5,16.8,18.4,4.9,25.5,"£42,843"
203,2266,145210,Primary,20,21,23,17.7,15.4,20.2,16,"£41,543"
203,2271,100129,Primary,20,17,6,18.8,15,5,17.9,"£43,789"
203,2275,143597,Primary,21,19,9,17.8,12.7,5.4,23.4,"£34,206"
203,2299,100131,Primary,17,21,10,16.3,15.4,7.9,24.7,"£43,460"
203,2313,143598,Primary,29,19,7,26.7,13.7,4.9,15.3,"£39,985"
203,2325,100134,Primary,35,31,9,34,26.7,7.7,19.3,"£35,293"
203,2353,100136,Primary,30,20,7,29.3,13.2,6,13.5,"£43,712"
203,2410,100137,Primary,20,15,12,15.8,10,6.7,14.4,"£46,997"
203,2471,100140,Primary,40,40,24,35.9,30.4,13.2,21.4,"£45,938"
203,2552,100141,Primary,19,23,7,17.8,17.8,5.7,25.2,"£37,640"
203,2598,100142,Primary,10,12,6,9,6.7,5,25.1,"£39,331"
203,2656,143594,Primary,40,29,14,38.1,21.1,13.4,15.1,"£41,644"
203,2662,100146,Primary,20,31,5,16.6,23.1,4.2,24.4,"£50,327"
203,2790,143210,Primary,15,7,6,13.4,4.9,4.7,17.9,"£36,152"
203,2798,100149,Primary,25,26,6,20.7,19.4,4,21,"£45,084"
203,2801,100150,Primary,28,27,8,26.4,18.1,7.1,16.3,"£42,465"
203,2804,143593,Primary,13,14,5,12.2,8.3,4.1,18.3,"£45,718"
203,2813,100152,Primary,32,35,9,28.9,30.6,8.3,19.9,"£42,612"
203,2851,100154,Primary,26,31,6,24.2,15.1,4.9,16.3,"£42,285"
203,2877,100155,Primary,25,20,11,21.6,14.3,10.3,20.2,"£50,064"
203,2885,143592,Primary,36,43,11,34.6,34.2,8.5,19.1,"£44,009"
203,2890,143079,Primary,47,41,16,43.4,31.1,12.3,18.4,"£43,979"
203,2900,100158,Primary,45,25,29,41,17.2,19.9,20.3,"£41,169"
203,2901,100159,Primary,24,20,8,22.2,18.2,7.6,16.6,"£44,964"
203,2902,145215,Primary,14,13,7,11.1,8.2,6,20.4,"£45,589"
203,2915,100162,Primary,15,16,4,11.6,9.3,3.9,19.1,"£46,250"
203,2916,100163,Primary,21,27,22,19.1,18,18.4,22,"£41,945"
203,2917,100164,Primary,13,22,10,13,15.2,9.1,34.3,"£46,055"
203,2918,130921,Primary,20,32,7,19.8,21.2,5.9,20.8,"£46,558"
203,2919,143209,Primary,19,22,6,18.4,14.7,4.9,21.9,"£43,771"
203,2920,143596,Primary,35,23,10,32.2,18.6,9,18.7,"£43,138"
203,2921,131246,Primary,53,64,11,41.3,39.1,7.7,19.2,"£38,465"
203,2922,131841,Primary,35,39,8,34,25.2,7,17.3,"£40,052"
203,2923,143599,Primary,26,19,8,21.5,11.8,5.7,21.5,"£49,213"
203,2924,132800,Primary,23,21,4,21.7,15.4,3.1,19.9,"£38,330"
203,2925,132827,Primary,28,22,28,25.6,19.1,17.6,17,"£40,584"
203,3322,100165,Primary,11,13,5,11,9.9,3.4,17,"£54,052"
203,3331,100166,Primary,9,15,5,8.6,9.7,3.1,24.4,"£43,911"
203,3338,100167,Primary,25,21,5,22.3,15.2,3.7,19.4,"£42,233"
203,3382,100168,Primary,18,16,6,14,11.9,3.8,21.3,"£43,680"
203,3481,100169,Primary,12,16,3,10.8,13.2,2.7,17.8,"£45,519"
203,3500,100170,Primary,19,19,11,16.5,11.3,5.9,19.4,"£44,408"
203,3526,100171,All through,73,58,24,70.5,42.5,19,16.3,"£40,603"
203,3535,144091,Primary,19,19,5,17.4,12.7,3.6,25.8,"£42,828"
203,3561,100173,Primary,17,7,4,15.2,6.3,3.2,22.5,"£37,474"
203,3577,100174,Primary,13,9,6,11.9,7.3,4.8,19.1,"£48,637"
203,3585,100175,Primary,10,9,4,9.2,7.2,3.1,22.7,"£43,887"
203,3604,100176,Primary,9,9,3,8.8,6.8,1.9,22.6,"£45,049"
203,3632,100177,Primary,25,26,4,21.9,17.3,3.9,17.1,"£39,430"
203,3657,100178,Primary,6,10,8,6,7.9,3.9,28.7,"£44,059"
203,3662,100179,Primary,10,7,2,8.2,6.2,1.7,23.3,"£43,927"
203,3666,100180,Primary,11,11,3,10.6,7.8,3,19.5,"£43,285"
203,3668,100181,Primary,14,13,3,12.7,9.6,2.9,15.7,"£39,578"
203,3670,131109,Primary,30,38,21,29.4,33.2,19.7,22.1,"£45,628"
203,4000,138449,Secondary,92,8,21,89.5,7.3,20.1,12.8,"£50,140"
203,4001,138245,Secondary,37,13,15,36.8,12.9,13.9,15,"£39,508"
203,4003,142608,Secondary,NA,NA,NA,NA,NA,NA,NA,NA
203,4006,143927,Secondary,19,1,6,18.6,1,6,32.5,"£38,032"
203,4007,145315,Secondary,75,33,32,73.8,27.9,31.5,14,"£49,207"
203,4008,145895,Secondary,NA,NA,NA,NA,NA,NA,NA,NA
203,4077,100182,Secondary,72,10,21,68.1,7.9,17.8,16.4,"£48,069"
203,4130,100183,Secondary,110,39,46,98.6,33.8,32.4,14.5,"£45,557"
203,4250,141163,Secondary,120,27,36,114.4,22.4,32.1,13.2,"£46,694"
203,4271,141309,Secondary,86,30,31,79.6,23.2,30,20.2,"£44,799"
203,4294,100190,Secondary,120,42,47,110.4,40.2,42.4,17.3,"£46,617"
203,4508,100192,Secondary,85,23,30,80.1,16,26.9,15.2,"£47,731"
203,4682,100193,Secondary,45,9,15,41.6,6.9,12.9,15,"£44,340"
203,4716,141716,Secondary,42,13,17,41.2,12.1,14.8,15.1,"£44,753"
203,5200,100197,Primary,32,36,6,29.8,22.7,5.8,20.9,"£46,876"
203,6905,105135,Secondary,101,29,18,95.4,24.2,15.1,12.5,"£42,484"
204,2001,139814,Primary,32,25,10,31.8,23,9.1,19.5,"£35,829"
204,2002,140426,Primary,12,8,4,12,8,4,18,"£39,347"
204,2003,141750,Primary,12,8,5,12,6.8,2.8,11.8,"£40,224"
204,2004,142112,Primary,16,9,4,16,9,2.8,12.5,"£38,119"
204,2005,145730,Primary,11,3,3,7.4,2.5,2.2,16.4,"£29,924"
204,2048,100218,Primary,28,32,10,26.7,24.7,9.3,16.8,"£40,728"
204,2120,100221,Primary,16,11,6,15.1,7.5,6,13.5,"£38,407"
204,2150,100223,Primary,34,27,18,32.1,22.9,16.8,19,"£41,274"
204,2155,100224,Primary,17,15,7,16.4,12.5,5.7,15.2,"£44,110"
204,2238,100225,Primary,22,21,8,21.6,17.5,7.1,15.4,"£43,533"
204,2376,100229,Primary,29,30,10,26.2,22,8.1,16.5,"£43,954"
204,2388,100230,Primary,35,17,6,33.2,13.2,5.1,13.3,"£40,671"
204,2421,100231,Primary,32,31,15,29.7,26.7,14.1,22.1,"£45,173"
204,2431,100232,Primary,23,20,15,22.5,18.5,13.1,19.6,"£40,222"
204,2444,141576,Primary,24,15,6,23.8,11.6,4.6,18.9,"£39,638"
204,2450,100234,Primary,31,19,15,31,17.1,13.8,19.8,"£42,463"
204,2487,100235,Primary,24,34,8,24,32.1,5.4,20.5,"£44,646"
204,2489,100236,Primary,25,15,4,24,13.2,3.9,14.5,"£42,734"
204,2532,100239,Primary,20,23,12,19.2,15,9.4,18.6,"£42,050"
204,2533,130302,Primary,24,24,8,22.6,19.4,7,20.5,"£41,179"
204,2534,130303,Primary,33,35,12,30.8,26.3,9.1,18.3,"£44,448"
204,2539,100240,Primary,28,25,8,24.8,21.1,6.8,16.5,"£48,591"
204,2545,100241,Primary,25,18,11,24.2,13,10.7,17.9,"£37,578"
204,2564,100242,Primary,21,18,9,21,16.3,8.2,18.1,"£40,279"
204,2592,100243,Primary,18,33,14,17.6,30.6,7.3,18.9,"£39,890"
204,2615,100244,Primary,21,35,11,20.8,26.9,9,19,"£47,304"
204,2636,100245,Primary,25,18,15,24.1,15,9,16.6,"£42,589"
204,2654,100248,Primary,29,16,22,28.4,13.9,14.6,23.2,"£36,862"
204,2779,100250,Primary,16,18,6,15.3,12.7,4.8,15.1,"£47,796"
204,2795,100251,Primary,28,14,9,26.4,11.1,7.8,13.5,"£45,201"
204,2856,100252,Primary,14,17,10,11.5,12.5,4.3,19.7,"£46,301"
204,2859,100253,Primary,26,33,21,25.2,22.8,12,17.4,"£39,309"
204,2860,100254,Primary,14,11,5,12.7,8.2,4.1,16.9,"£44,173"
204,2861,100255,Primary,11,12,5,11,8.9,3.8,20,"£44,346"
204,2862,100256,Primary,22,7,9,20.7,6.8,9,16.5,"£38,279"
204,2863,100257,Primary,14,15,4,11.4,9.6,3,18.9,"£38,858"
204,2864,100258,Primary,26,14,11,25,11.5,8.2,18.3,"£42,241"
204,2865,100259,Primary,13,14,5,11.6,12.3,4.6,18.8,"£40,128"
204,2872,100260,Primary,21,18,9,19.3,12,7.6,18,"£39,963"
204,2896,100261,Primary,18,10,8,17,8.6,6.6,18.6,"£40,668"
204,2897,130932,Primary,28,19,6,26.5,11.7,4.6,16.4,"£43,681"
204,2898,131141,Primary,20,11,6,20,10.3,5.6,16.2,"£40,937"
204,2899,131706,Primary,20,15,6,18.6,10.4,5.4,23.5,"£42,994"
204,2900,133669,Primary,18,16,3,17.6,12.5,3,21.7,"£42,980"
204,3000,132137,Primary,20,19,13,15.3,15.3,6.6,16.7,"£43,953"
204,3358,100263,Primary,15,10,12,14.6,9,10,18.5,"£62,768"
204,3371,100264,Primary,13,13,5,12.6,10.1,4.5,17.3,"£47,536"
204,3458,100266,Primary,24,9,8,23.6,7.9,7,14.6,"£42,348"
204,3543,100267,Primary,13,10,4,12.6,7.9,3.9,19.6,"£42,254"
204,3553,100268,Primary,12,11,11,11.2,9.2,9,19.2,"£43,913"
204,3572,100269,Primary,9,9,6,9,6.6,4,22.8,"£44,422"
204,3616,100270,Primary,12,4,5,12,3.2,4.1,16.1,"£42,273"
204,3618,100271,Primary,15,3,3,13.9,2.6,3,14.6,"£41,066"
204,3659,100274,Primary,13,5,5,12.6,4.2,3.8,15.9,"£43,429"
204,3663,100275,Primary,10,8,2,9.2,4.2,2,12,"£42,434"
204,3664,145610,Primary,16,13,6,11.6,10.2,3.5,13.5,"£34,765"
204,3665,142255,Primary,22,18,5,21.1,16.9,5,20.4,"£39,938"
204,3666,121792,Primary,17,10,4,14.5,7.4,3.6,14.5,"£41,708"
204,4000,145609,Secondary,27,8,9,13.6,3.2,4.9,9.4,"£36,804"
204,4002,139595,Secondary,44,5,11,43.8,5,9.8,9.8,"£38,595"
204,4003,140210,Secondary,66,21,16,64.3,21,14.8,11.9,"£43,572"
204,4005,143756,Secondary,27,4,5,26.6,4,4.2,13.6,"£42,044"
204,4283,100277,Secondary,80,10,32,73.7,7.9,25.5,12.7,"£48,186"
204,4302,137442,Secondary,66,9,20,65.4,9,20,18.1,"£46,363"
204,4310,100279,Secondary,112,37,47,108.9,30.8,40.4,15,"£45,269"
204,4318,133599,Secondary,57,19,30,28.6,8.3,15.1,11,"£33,733"
204,4641,100282,Secondary,56,6,17,53,6,16.4,14,"£51,106"
204,4697,100284,Secondary,56,12,13,54.7,9.2,12.7,15.3,"£50,015"
204,4714,100285,Secondary,83,10,24,81,10,22.7,12.3,"£47,718"
204,6905,134693,Secondary,122,32,34,112.7,30.1,31.6,11.9,"£44,164"
204,6906,131062,Secondary,97,27,31,92.7,26.5,30.8,11.4,"£43,517"
204,6907,131609,Secondary,74,21,34,69,19.9,31,15.6,"£55,825"
204,6908,135835,Secondary,101,67,2,94.1,56.2,1.3,12,"£41,617"
204,6909,136137,Secondary,60,28,32,60,27.3,31.1,17.3,"£41,676"
205,2000,137331,Primary,12,11,5,11.4,8,3.9,18.3,"£35,393"
205,2001,139546,Primary,19,13,3,17,13,2,21.2,"£40,947"
205,2002,100321,Primary,19,21,3,17.5,18.2,2.4,20.1,"£43,776"
205,2003,139820,Primary,20,7,5,19.6,5.1,5,14.1,"£40,415"
205,2004,140811,Primary,10,5,3,7,4.3,0.8,21.5,"£46,444"
205,2005,141685,Primary,12,3,3,11.6,2.9,3,16.6,"£42,781"
205,2026,100322,Primary,13,15,3,13,10.8,2.6,16.2,"£42,494"
205,2045,138680,Primary,13,7,4,12.6,6.9,3.7,16.8,"£40,045"
205,2061,100324,Primary,25,13,7,23.7,9.2,6.8,19.3,"£44,407"
205,2134,100326,Primary,14,14,8,13.3,12.2,7,18,"£51,146"
205,2223,100328,Primary,12,8,4,11.4,7.9,3.9,18.4,"£45,349"
205,2286,143213,Primary,22,21,11,20,14.3,7.8,14.8,"£40,723"
205,2309,142256,Primary,16,8,5,14.4,7.3,4.8,16.6,"£45,595"
205,2350,100331,Primary,12,11,3,11.2,7.6,2.8,20.4,"£46,209"
205,2383,140634,Primary,NA,NA,NA,NA,NA,NA,NA,NA
205,2408,100334,Primary,25,32,14,22.4,17.8,10.3,18.6,"£45,129"
205,2444,100335,Primary,20,20,10,17.8,10.9,10,19,"£49,714"
205,2484,143212,Primary,13,10,8,13,6.9,6.2,16.2,"£40,269"
205,2555,100338,Primary,18,12,10,17,7.4,9.3,19.5,"£44,542"
205,2577,143214,Primary,13,19,4,12.1,16.1,3.4,20,"£47,085"
205,2632,100340,Primary,23,13,8,20,9.8,7,21.8,"£47,787"
205,2660,100341,Primary,25,16,12,24.6,13.5,9.9,16.7,"£44,809"
205,2913,141902,Primary,NA,NA,NA,NA,NA,NA,NA,NA
205,3300,100344,Primary,13,9,7,11.3,4.3,5.3,20,"£44,494"
205,3354,100345,Primary,31,28,7,28.5,21.6,6.8,21.7,"£42,367"
205,3368,100346,Primary,13,10,5,12.6,7.1,3.3,18.8,"£40,386"
205,3378,100347,Primary,12,9,5,10.5,6.5,3.7,19.7,"£46,958"
205,3463,100349,Primary,21,16,6,20.4,10.3,5,18.8,"£39,627"
205,3529,100350,Primary,12,14,5,9.7,10.4,4.9,22.2,"£46,990"
205,3566,100351,Primary,16,20,4,14,13.7,2.3,15.8,"£44,306"
205,3578,100352,Primary,10,14,6,8.9,8.5,5.3,23.3,"£42,949"
205,3600,100353,Primary,20,20,5,18.2,14.1,4.4,22.8,"£48,171"
205,3602,100354,Primary,9,5,5,8.4,3.1,4.7,27.3,"£47,563"
205,3645,100355,Primary,18,20,4,16.2,13.2,3.7,18.3,"£43,939"
205,3648,100357,Primary,12,6,5,11.1,5.1,4.7,23.3,"£42,136"
205,3649,134009,Primary,26,21,8,22.9,13.6,6,19.1,"£45,240"
205,3650,134273,Primary,17,9,11,15.1,7.6,10.7,14.8,"£46,534"
205,4000,136750,Secondary,56,5,16,56,5,16,15.2,"£46,081"
205,4001,141135,Secondary,41,6,10,41,6,10,13.3,"£48,223"
205,4002,141617,Secondary,37,1,14,36,1,12.9,13.1,"£43,675"
205,4003,142873,16 plus,7,3,2,6.7,3,2,3.6,"£52,612"
205,4004,143129,Secondary,41,7,20,40.2,6.3,20,10.2,"£48,610"
205,4106,139364,Secondary,34,11,19,32.6,10.2,17.6,11.3,"£51,212"
205,4315,139365,Secondary,44,7,22,43.6,6.8,21,14.4,"£49,592"
205,4320,133545,16 plus,52,11,27,45.7,9.7,24.2,17.8,"£46,620"
205,4620,137935,Secondary,54,4,25,52.1,3.6,15.9,20.1,"£49,659"
205,4632,138607,Secondary,62,6,15,56.9,4.9,13.6,13.3,"£45,566"
205,5400,137157,Secondary,124,14,22,90,9.9,20.6,14.7,"£43,049"
205,6905,131752,All through,99,16,22,97.8,16,20.9,13.2,"£43,053"
205,6906,136172,Secondary,30,4,16,30,4,15.7,28.2,"£42,154"
206,2000,140495,Primary,19,8,13,17,7.5,7.7,16.1,"£32,506"
206,2001,143020,Primary,4,6,4,4,5.5,1.5,16,"£46,463"
206,2002,144961,Primary,5,3,2,5,2.1,1.7,27.6,"£47,754"
206,2003,145731,Primary,11,16,5,10.8,9.2,4.6,20.6,"£43,199"
206,2015,100397,Primary,26,13,25,24.8,11.2,22.7,19,"£36,906"
206,2128,100401,Primary,11,4,6,10,3.9,5.4,16.6,"£40,106"
206,2166,100402,Primary,17,15,6,16.9,10.5,5.6,17.3,"£44,832"
206,2170,100403,Primary,25,18,11,22.4,13.7,9.4,18.6,"£38,169"
206,2251,100405,Primary,15,11,6,14,9.1,4.2,16.4,"£48,441"
206,2261,100406,Primary,30,36,15,27,22.3,9.5,17.6,"£45,387"
206,2279,100407,Primary,20,14,6,18.3,9.7,4.4,17.4,"£44,718"
206,2282,100408,Primary,17,15,21,17,14.7,19.8,21.3,"£40,248"
206,2379,100411,Primary,32,26,6,29.2,19.5,5.5,14.2,"£46,156"
206,2429,100415,Primary,18,12,18,16.4,10.1,15.6,20.4,"£45,823"
206,2455,100418,Primary,22,16,16,18.6,10.7,11,17.8,"£43,242"
206,2515,100422,Primary,13,12,15,12.6,11.4,14.1,18.3,"£47,870"
206,2596,100425,Primary,21,21,6,21,18.8,5.2,21.8,"£43,816"
206,2624,100426,Primary,13,15,7,12.6,8.9,4.9,16.2,"£41,160"
206,2643,137566,Primary,26,18,6,21.7,15.4,3.2,20.7,"£48,753"
206,2646,100428,Primary,17,7,8,14.9,6.2,8,15.8,"£44,423"
206,2666,100429,Primary,23,16,4,20.2,14.8,3.2,22.6,"£42,291"
206,2803,100430,Primary,20,12,11,17.3,10,5.2,19,"£44,727"
206,2805,100431,Primary,18,15,18,17.7,12.7,15.7,19.4,"£40,877"
206,2809,100432,Primary,24,17,9,21.5,15.9,7.5,19.9,"£41,440"
206,2850,100434,Primary,18,15,28,16.8,13.4,23.6,25.3,"£45,702"
206,2852,131218,Primary,26,17,8,23.9,14.4,7.8,16.1,"£44,794"
206,2853,131325,Primary,25,20,9,24.3,17.6,8.6,16.7,"£40,059"
206,2854,131773,Primary,23,18,6,21.2,14.6,5.2,21.2,"£46,366"
206,2855,131842,Primary,27,11,18,25.9,11,13.2,18.4,"£38,273"
206,2856,131741,Primary,23,17,7,22.8,12.6,6.9,13.4,"£37,513"
206,2857,131740,Primary,21,14,4,21,12.4,3.6,19,"£37,501"
206,3384,100437,Primary,24,20,6,23.4,14.9,5.6,19.5,"£47,311"
206,3456,100438,Primary,16,17,4,15.6,11.4,4,19.4,"£44,343"
206,3465,100439,Primary,10,9,13,10,6.7,4.4,19.9,"£38,240"
206,3471,100440,Primary,11,11,3,10.2,9,3,19.6,"£42,707"
206,3483,100441,Primary,24,13,11,23.4,12,7.9,19.9,"£42,967"
206,3488,100442,Primary,12,9,5,11.5,7.2,3,16,"£45,348"
206,3495,100443,Primary,14,14,5,12.3,11.6,4.6,18.3,"£46,361"
206,3501,100444,Primary,13,16,4,12.2,13.8,4,18.6,"£41,384"
206,3527,100446,Primary,12,10,1,11.2,7.3,1,17.8,"£44,709"
206,3575,100447,Primary,11,6,5,11,5.1,3.8,19.4,"£45,788"
206,3606,100448,Primary,10,8,7,9.4,7.5,3.8,20.1,"£46,461"
206,3631,100449,Primary,21,16,8,20.9,11.5,6.1,20.6,"£45,851"
206,3633,100450,Primary,18,15,6,17.6,12.5,5.8,18.8,"£43,207"
206,3643,100451,Primary,10,10,5,10,8,4.2,18.4,"£45,235"
206,3644,137393,Primary,19,14,11,17.2,11.1,9.9,18.9,"£44,134"
206,4000,139793,16 plus,8,0,6,6.4,0,5.2,7.8,"£44,188"
206,4001,143659,Secondary,33,3,14,32.4,3,13.8,12.7,"£47,914"
206,4003,144962,Secondary,83,14,22,81.1,13.6,21.2,13.4,"£36,602"
206,4112,100453,Secondary,50,12,16,49.7,11.8,14.4,12.7,"£50,195"
206,4307,100455,Secondary,65,8,11,62.6,6.5,9.7,12.3,"£46,979"
206,4324,100457,Secondary,65,6,24,61,5.8,21.3,14.7,"£51,263"
206,4325,131690,Secondary,46,15,19,44,14.8,15,14.7,"£45,383"
206,4614,100458,Secondary,74,6,12,72.2,4.8,9.7,13.5,"£45,637"
206,4651,100459,Secondary,78,6,14,71.9,5.3,14,13.5,"£49,517"
206,6905,134314,All through,96,27,35,92.8,21.9,31.5,14.1,"£42,343"
206,6906,135587,Secondary,51,14,21,50,13.6,19.1,16,"£43,554"
207,2000,139645,Primary,26,15,5,24.8,12.9,4.8,15.4,"£40,754"
207,2001,140213,Primary,8,6,1,4.6,5.4,0.9,24.9,"£48,268"
207,2021,100477,Primary,13,17,2,12.2,15.3,2,18.3,"£43,566"
207,2030,100478,Primary,30,28,6,28.3,22.5,5.8,12.8,"£39,168"
207,2050,100479,Primary,17,20,6,16.6,16.2,5.8,19.5,"£45,436"
207,2060,100480,Primary,31,26,9,27,16.7,6.9,16.2,"£43,083"
207,2121,100481,Primary,28,26,12,26.7,19.1,10.5,16.4,"£42,795"
207,2229,100482,Primary,29,25,7,25.4,22.4,6.9,14.6,"£44,419"
207,2399,100483,Primary,25,33,3,22.6,26.3,3,16.5,"£42,648"
207,2452,100485,Primary,21,17,10,20.1,13.4,8.9,18.1,"£47,500"
207,2456,100486,Primary,15,14,8,14.9,13.2,7.1,13.1,"£41,759"
207,2538,100487,Primary,24,20,5,22.4,16.7,4.2,15.6,"£47,026"
207,2594,100488,Primary,16,14,4,14.7,8.7,3.4,16,"£43,644"
207,3321,100489,Primary,14,13,3,12.1,10.3,2.6,17.1,"£44,744"
207,3356,100490,Primary,11,6,5,10.6,3.4,3.1,19.8,"£46,006"
207,3379,100491,Primary,15,8,3,10.4,6.4,1.9,20.5,"£48,634"
207,3402,100492,Primary,15,15,3,13.7,11.6,2,16.9,"£53,525"
207,3417,100493,Primary,15,12,2,15,7.1,2,13.7,"£42,300"
207,3437,100494,Primary,21,19,5,18.8,14.3,4.1,11,"£47,187"
207,3455,100495,Primary,12,10,6,11.4,7.6,4.3,16.2,"£40,989"
207,3477,100496,Primary,12,7,10,11.6,5.8,5.5,19.4,"£49,675"
207,3504,100497,Primary,12,7,2,11.2,3.9,2,18,"£46,552"
207,3541,100498,Primary,12,17,7,9.2,14.1,4.8,19.2,"£45,833"
207,3542,100499,Primary,20,19,4,18.6,13.2,3.2,14.6,"£44,267"
207,3613,100500,Primary,16,14,6,14.6,9.7,5.4,16,"£46,460"
207,4000,140212,Secondary,102,19,29,101.6,18.8,27.7,11.1,"£38,772"
207,4320,140134,Secondary,79,10,11,78,10,10.2,17.7,"£40,126"
207,4681,100502,Secondary,41,2,21,39.8,1.4,20.4,15.5,"£49,516"
207,4801,100503,Secondary,35,12,16,34.2,11.2,13.2,13.6,"£46,134"
207,5200,100504,Primary,14,7,7,12,5.6,5.9,18.3,"£42,743"
207,5201,100505,Primary,19,21,8,16.8,12.1,6.2,17.8,"£47,998"
207,5402,141931,Secondary,108,5,20,79.3,4.1,17.9,12.5,"£43,938"
